type,id,address,date,body
sms,1,shandra@cheerful.com,1304645695886,(Nearby! Coming for my beer) Hey Yob. I am closing in on Fat Heads. See ya soon.
sms,2,sms.dynadel@gmail.com,1304704410497,Reminder. planned IT outage this weekend.  This maintenance window will start at 3 PM today and continue for approx 48 hours.
sms,3,sms.dynadel@gmail.com,1304704516458,This effects external services such as website email webmail and the ftp server.  Use the secondary email access and helpdesk # for emergencies.
sms,4,shandra@cheerful.com,1304811556192,(Save me!) If Luke asks I'm going out with you to dinner. OK? I just can't face Mr. Smooth tonight. Shandra
sms,5,6245,1304811867383,Sure thing. Do you know where the wine loft is?
sms,6,6245,1304812477765,I ran into some friends at the double wide. Meetup at 8:30 or so?
sms,7,6245,1304812613016,Or you can walk down Carson and join us
sms,8,shandra@cheerful.com,1304824201869,(Re: Or you can walk down) Walking down now. Hope you are still vertical.
sms,9,shandra@cheerful.com,1304824203956,(Re: Or you can walk down) Walking down now. Hope you are still vertical.
sms,10,shandra@cheerful.com,1304824227294,(Re: Or you can walk down) Walking down now. Hope you are still vertical.
sms,11,shandra@cheerful.com,1304824231029,(Re: Or you can walk down) Hope you guys are still at double-wide ...
sms,12,shandra@cheerful.com,1304890905841,(Thanks) Thanks for being so gracious last night. Shandra
sms,13,shandra@cheerful.com,1305026806628,(You around for lunch) Hey -- a few of us are going to that great Indian buffet for lunch today. You interested?
sms,14,6245,1305034304140,Sorry still an Atlanta till tonight.  Raincheck?
sms,15,shandra@cheerful.com,1305045318622,(Re: Sorry still an Atlanta till) OK. Safe travels!
sms,16,4124393388,1305060183890,You have insufficient funds to send message.
sms,17,4124393388,1305060220087,You have insufficient funds to send message.
dwn,18,Downloading system update,1304556750359 ,http://v11.lscache8.c.android.clients.google.com/packages/data/ota/verizon_voles/fa406da6c8bb.signed-voles-ESE81-from-ESD56.fa406da6.zip
dwn,19,Market Update,1304558145225 ,https://android.clients.google.com/market/download/Download?userId=06232416095235528160&deviceId=2494994194133873757&downloadId=7928444678443494089&assetId
dwn,20,Angry Birds,1304559666565 ,http://android.clients.google.com/market/download/Download?userId=06232416095235528160&deviceId=2494994194133873757&downloadId=5771942266460151034&assetId=-5215283557087534742
dwn,21,Angry Birds Seasons,1304559666470 ,http://android.clients.google.com/market/download/Download?userId=06232416095235528160&deviceId=2494994194133873757&downloadId=-804212700415400510&assetId=8874531864766809539
dwn,22,Paper Toss,1304559288984 ,http://android.clients.google.com/market/download/Download?userId=06232416095235528160&deviceId=2494994194133873757&downloadId=-8553455058101052017&assetId=-6957133861553016613
